Gender,Age Range,Head Size(cm^3),Brain Weight(grams)
2,1,2857,1027
2,1,3436,1235
2,1,3791,1260
2,1,3302,1165
2,1,3104,1080
2,1,3171,1127
2,1,3572,1270
2,1,3530,1252
2,1,3175,1200
2,1,3438,1290
2,1,3903,1334
2,1,3899,1380
2,1,3401,1140
2,1,3267,1243
2,1,3451,1340
2,1,3090,1168
2,1,3413,1322
2,1,3323,1249
2,1,3680,1321
2,1,3439,1192
2,1,3853,1373
2,1,3156,1170
2,1,3279,1265
2,1,3707,1235
2,1,4006,1302
2,1,3269,1241
2,1,3071,1078
2,1,3779,1520
2,1,3548,1460
2,1,3292,1075
2,1,3497,1280
2,1,3082,1180
2,1,3248,1250
2,1,3358,1190
2,1,3803,1374
2,1,3566,1306
2,1,3145,1202
2,1,3503,1240
2,1,3571,1316
2,1,3724,1280
2,1,3615,1350
2,1,3203,1180
2,1,3609,1210
2,1,3561,1127
2,1,3979,1324
2,1,3533,1210
2,1,3689,1290
2,1,3158,1100
2,1,4005,1280
2,1,3181,1175
2,1,3479,1160
2,1,3642,1205
2,1,3632,1163
2,2,3069,1022
2,2,3394,1243
2,2,3703,1350
2,2,3165,1237
2,2,3354,1204
2,2,3000,1090
2,2,3687,1355
2,2,3556,1250
2,2,2773,1076
2,2,3058,1120
2,2,3344,1220
2,2,3493,1240
2,2,3297,1220
2,2,3360,1095
2,2,3228,1235
2,2,3277,1105
2,2,3851,1405
2,2,3067,1150
2,2,3692,1305
2,2,3402,1220
2,2,3995,1296
2,2,3318,1175
2,2,2720,955
2,2,2937,1070
2,2,3580,1320
2,2,2939,1060
2,2,2989,1130
2,2,3586,1250
2,2,3156,1225
2,2,3246,1180
2,2,3170,1178
2,2,3268,1142
2,2,3389,1130
2,2,3381,1185
2,2,2864,1012
2,2,3740,1280
2,2,3479,1103
2,2,3647,1408
2,2,3716,1300
2,2,3284,1246
2,2,4204,1380
2,2,3735,1350
2,2,3218,1060
2,2,3685,1350
2,2,3704,1220
2,2,3214,1110
2,2,3394,1215
2,2,3233,1104
2,2,3352,1170
2,2,3391,1120
